time,r_x,r_y,r_z,v_x,v_y,v_z,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
0.0000000000e+00,1.0000000000e+04,1.0000000000e+03,1.0000000000e+00,1.0000000000e+00,6.3135000000e+00,1.0000000000e+00,6.4699522603e+00,0.0000000000e+00,-inf,0.0000000000e+00,inf,0.0000000000e+00,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,inf,-inf,-inf,-inf,9.9431470580e+03,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1.6032845983e-01,9.9053355166e-02,-nan
1.0000000000e-02,1.0000010000e+04,1.0000631350e+03,1.0100000000e+00,9.9996074657e-01,6.3134960745e+00,9.9999999606e-01,6.4699423622e+00,1.0049891904e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6121908362e+00,1.3514480308e+00,1.1009327635e+00,2.5361698143e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
5.5000000000e-02,1.0000054994e+04,1.0003472419e+03,1.0549999994e+00,9.9978410799e-01,6.3134784071e+00,9.9999997782e-01,6.4698978211e+00,1.0049964955e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6122188795e+00,1.3514754257e+00,1.1009586286e+00,2.5361846468e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
2.5750000000e-01,1.0000257370e+04,1.0016257132e+03,1.2574999859e+00,9.9898927224e-01,6.3133988464e+00,9.9999988592e-01,6.4696973910e+00,1.0050293683e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6123450692e+00,1.3515987003e+00,1.1010750212e+00,2.5362513691e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
1.1687500000e+00,1.0001166069e+04,1.0073786344e+03,2.1687496275e+00,9.9541327758e-01,6.3130396626e+00,9.9999927336e-01,6.4687955541e+00,1.0051772936e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6129128207e+00,1.3521533863e+00,1.1015987882e+00,2.5365511327e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
5.2693750000e+00,1.0005214916e+04,1.0332626937e+03,6.2693599952e+00,9.7933682929e-01,6.3113998793e+00,9.9999249387e-01,6.4647392870e+00,1.0058429132e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6154656362e+00,1.3546484636e+00,1.1039557397e+00,2.5378902231e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
1.3987431783e+01,1.0013604127e+04,1.0882702114e+03,1.4987215040e+01,9.4524239325e-01,6.3077867205e+00,9.9995630181e-01,6.4561264779e+00,1.0072577837e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6208817910e+00,1.3599475942e+00,1.1089666922e+00,2.5406837288e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
2.4196020273e+01,1.0023050550e+04,1.1526413023e+03,2.5194984493e+01,9.0546552188e-01,6.3033381546e+00,9.9987654852e-01,6.4460602553e+00,1.0089140652e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6272046435e+00,1.3661432688e+00,1.1148343704e+00,2.5438627266e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
3.5481647371e+01,1.0033022023e+04,1.2237494154e+03,3.6478504322e+01,8.6167697536e-01,6.2981499045e+00,9.9974191868e-01,6.4349563583e+00,1.0107444001e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6341704646e+00,1.3729807827e+00,1.1213211073e+00,2.5472619364e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
4.7628208574e+01,1.0043203301e+04,1.3002147886e+03,4.8620779497e+01,8.1476583472e-01,6.2922524508e+00,9.9954309882e-01,6.4230343824e+00,1.0127134591e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6416395521e+00,1.3803260846e+00,1.1283026907e+00,2.5507859206e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
