time,ICRF_X,ICRF_Y,ICRF_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega,V_infinity,b_impact_parameter,beta,b_impact_parameter_x,b_impact_parameter_y,r_soi,within_target_soi
0.0000000000e+00,1.2036430942e+08,-9.2313359764e+07,4.1939688108e+05,2.0562102317e+01,2.5895224020e+01,1.7991244082e+00,3.3114944170e+01,1.5168882380e+08,-3.2656022978e+02,2.0318837277e+08,1.2577600379e-07,4.9955358079e+07,5.0224439388e+09,-1.7694359494e+08,-2.0792668537e+08,5.0150175050e+09,2.5398796422e-01,1.8791221154e-01,-1.7087621267e-01,-4.5460704038e-04,1.9008071401e+08,2.5479577392e+08,1.5158097161e+08,1.9652529347e+08,4.8022256141e+00,3.7048597993e+00,2.7645256045e+00,9.7212240320e-01,3.1161888199e+00,4.0397461392e+01,3.5811315098e+02,1.7286900122e+01,7.4228307674e+07,1.5707943961e+00,7.3177876777e+07,-1.2443472608e+07,5.1455202604e+05,0.0000000000e+00
1.0000000000e-02,1.2036430962e+08,-9.2313359505e+07,4.1939689908e+05,2.0562102271e+01,2.5895224055e+01,1.7991244080e+00,3.3114944169e+01,1.5168882381e+08,-3.2656022978e+02,2.0318837277e+08,1.2577600379e-07,4.9955358079e+07,5.0224439388e+09,-1.7694359494e+08,-2.0792668537e+08,5.0150175050e+09,2.5398796422e-01,1.8791221154e-01,-1.7087621267e-01,-4.5460704038e-04,1.9008071401e+08,2.5479577392e+08,1.5158097161e+08,1.9652529347e+08,4.8022257392e+00,3.7048598958e+00,2.7645256766e+00,9.7212242849e-01,3.1161888199e+00,4.0397461392e+01,3.5811315098e+02,1.7286900107e+01,7.4228307522e+07,1.5707943961e+00,7.3177876621e+07,-1.2443472620e+07,5.1455202604e+05,0.0000000000e+00
5.5000000000e-02,1.2036431055e+08,-9.2313358340e+07,4.1939698004e+05,2.0562102065e+01,2.5895224213e+01,1.7991244073e+00,3.3114944164e+01,1.5168882383e+08,-3.2656022978e+02,2.0318837277e+08,1.2577600379e-07,4.9955358079e+07,5.0224439388e+09,-1.7694359494e+08,-2.0792668537e+08,5.0150175050e+09,2.5398796422e-01,1.8791221154e-01,-1.7087621267e-01,-4.5460704038e-04,1.9008071401e+08,2.5479577392e+08,1.5158097161e+08,1.9652529347e+08,4.8022263019e+00,3.7048603302e+00,2.7645260009e+00,9.7212254228e-01,3.1161888199e+00,4.0397461392e+01,3.5811315098e+02,1.7286900036e+01,7.4228306836e+07,1.5707943961e+00,7.3177875916e+07,-1.2443472672e+07,5.1455202604e+05,0.0000000000e+00
2.5750000000e-01,1.2036431471e+08,-9.2313353096e+07,4.1939734436e+05,2.0562101138e+01,2.5895224924e+01,1.7991244041e+00,3.3114944145e+01,1.5168882395e+08,-3.2656022978e+02,2.0318837277e+08,1.2577600379e-07,4.9955358079e+07,5.0224439388e+09,-1.7694359494e+08,-2.0792668537e+08,5.0150175050e+09,2.5398796422e-01,1.8791221154e-01,-1.7087621267e-01,-4.5460704038e-04,1.9008071401e+08,2.5479577392e+08,1.5158097161e+08,1.9652529347e+08,4.8022288345e+00,3.7048622850e+00,2.7645274602e+00,9.7212305438e-01,3.1161888199e+00,4.0397461392e+01,3.5811315098e+02,1.7286899719e+01,7.4228303750e+07,1.5707943961e+00,7.3177872746e+07,-1.2443472905e+07,5.1455202604e+05,0.0000000000e+00
1.1687500000e+00,1.2036433345e+08,-9.2313329499e+07,4.1939898381e+05,2.0562096968e+01,2.5895228122e+01,1.7991243896e+00,3.3114944055e+01,1.5168882446e+08,-3.2656022978e+02,2.0318837277e+08,1.2577600379e-07,4.9955358079e+07,5.0224439388e+09,-1.7694359494e+08,-2.0792668537e+08,5.0150175050e+09,2.5398796422e-01,1.8791221154e-01,-1.7087621267e-01,-4.5460704038e-04,1.9008071401e+08,2.5479577392e+08,1.5158097161e+08,1.9652529347e+08,4.8022402309e+00,3.7048710813e+00,2.7645340270e+00,9.7212535881e-01,3.1161888199e+00,4.0397461392e+01,3.5811315098e+02,1.7286898290e+01,7.4228289864e+07,1.5707943961e+00,7.3177858482e+07,-1.2443473956e+07,5.1455202604e+05,0.0000000000e+00
5.2693750000e+00,1.2036441777e+08,-9.2313223313e+07,4.1940636135e+05,2.0562078202e+01,2.5895242515e+01,1.7991243242e+00,3.3114943654e+01,1.5168882676e+08,-3.2656022978e+02,2.0318837277e+08,1.2577600379e-07,4.9955358080e+07,5.0224439388e+09,-1.7694359494e+08,-2.0792668537e+08,5.0150175051e+09,2.5398796422e-01,1.8791221154e-01,-1.7087621267e-01,-4.5460704038e-04,1.9008071401e+08,2.5479577392e+08,1.5158097161e+08,1.9652529347e+08,4.8022915148e+00,3.7049106650e+00,2.7645635779e+00,9.7213572874e-01,3.1161888199e+00,4.0397461392e+01,3.5811315098e+02,1.7286891864e+01,7.4228227378e+07,1.5707943961e+00,7.3177794295e+07,-1.2443478685e+07,5.1455202604e+05,0.0000000000e+00
2.3722187500e+01,1.2036479719e+08,-9.2312745472e+07,4.1943956025e+05,2.0561993753e+01,2.5895307282e+01,1.7991240299e+00,3.3114941849e+01,1.5168883713e+08,-3.2656022978e+02,2.0318837277e+08,1.2577600379e-07,4.9955358080e+07,5.0224439388e+09,-1.7694359494e+08,-2.0792668537e+08,5.0150175051e+09,2.5398796423e-01,1.8791221154e-01,-1.7087621267e-01,-4.5460704040e-04,1.9008071401e+08,2.5479577392e+08,1.5158097161e+08,1.9652529347e+08,4.8025222921e+00,3.7050887914e+00,2.7646965569e+00,9.7218239342e-01,3.1161888199e+00,4.0397461392e+01,3.5811315098e+02,1.7286862944e+01,7.4227946190e+07,1.5707943961e+00,7.3177505452e+07,-1.2443499963e+07,5.1455202604e+05,0.0000000000e+00
1.0675984375e+02,1.2036650460e+08,-9.2310595174e+07,4.1958895523e+05,2.0561613731e+01,2.5895598732e+01,1.7991227054e+00,3.3114933722e+01,1.5168888379e+08,-3.2656022977e+02,2.0318837277e+08,1.2577600378e-07,4.9955358082e+07,5.0224439388e+09,-1.7694359494e+08,-2.0792668537e+08,5.0150175051e+09,2.5398796425e-01,1.8791221156e-01,-1.7087621269e-01,-4.5460704046e-04,1.9008071401e+08,2.5479577393e+08,1.5158097161e+08,1.9652529348e+08,4.8035607897e+00,3.7058903600e+00,2.7652949622e+00,9.7239238432e-01,3.1161888198e+00,4.0397461392e+01,3.5811315098e+02,1.7286732803e+01,7.4226680858e+07,1.5707943960e+00,7.3176205675e+07,-1.2443595715e+07,5.1455202606e+05,0.0000000000e+00
4.8042929687e+02,1.2037418753e+08,-9.2300918535e+07,4.2026123132e+05,2.0559903571e+01,2.5896910166e+01,1.7991167392e+00,3.3114897132e+01,1.5168909389e+08,-3.2656022973e+02,2.0318837280e+08,1.2577600376e-07,4.9955358091e+07,5.0224439390e+09,-1.7694359494e+08,-2.0792668536e+08,5.0150175053e+09,2.5398796434e-01,1.8791221162e-01,-1.7087621275e-01,-4.5460704073e-04,1.9008071403e+08,2.5479577398e+08,1.5158097161e+08,1.9652529350e+08,4.8082340211e+00,3.7094974156e+00,2.7679877864e+00,9.7333733988e-01,3.1161888196e+00,4.0397461393e+01,3.5811315097e+02,1.7286147160e+01,7.4220987103e+07,1.5707943957e+00,7.3170356903e+07,-1.2444026574e+07,5.1455202612e+05,0.0000000000e+00
2.1619418359e+03,1.2040875279e+08,-9.2257367595e+07,4.2328644603e+05,2.0552206587e+01,2.5902809853e+01,1.7990897737e+00,3.3114732037e+01,1.5169004185e+08,-3.2656022955e+02,2.0318837291e+08,1.2577600365e-07,4.9955358134e+07,5.0224439399e+09,-1.7694359491e+08,-2.0792668532e+08,5.0150175061e+09,2.5398796476e-01,1.8791221193e-01,-1.7087621305e-01,-4.5460704194e-04,1.9008071409e+08,2.5479577421e+08,1.5158097161e+08,1.9652529358e+08,4.8292634020e+00,3.7257291042e+00,2.7801054950e+00,9.7758956934e-01,3.1161888185e+00,4.0397461394e+01,3.5811315097e+02,1.7283511552e+01,7.4195367806e+07,1.5707943945e+00,7.3144039855e+07,-1.2445964711e+07,5.1455202641e+05,0.0000000000e+00
