time,ICRF_X,ICRF_Y,ICRF_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
0.0000000000e+00,5.3533796529e+07,2.0663176626e+08,1.0247153906e+07,-2.1227187087e+01,1.1517633055e+01,-2.7029151190e-01,2.4152068241e+01,2.1369969200e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1767378149e+02,1.0418811141e+02,9.0439650310e+01,1.3910072361e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.0000000000e-02,5.3533796316e+07,2.0663176637e+08,1.0247153903e+07,-2.1227187094e+01,1.1517633027e+01,-2.7029151329e-01,2.4152068234e+01,2.1369969206e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1767378155e+02,1.0418811148e+02,9.0439650383e+01,1.3910072357e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
5.5000000000e-02,5.3533795361e+07,2.0663176689e+08,1.0247153891e+07,-2.1227187127e+01,1.1517632900e+01,-2.7029151956e-01,2.4152068203e+01,2.1369969232e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1767378184e+02,1.0418811179e+02,9.0439650712e+01,1.3910072339e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
2.5750000000e-01,5.3533791063e+07,2.0663176922e+08,1.0247153836e+07,-2.1227187275e+01,1.1517632331e+01,-2.7029154778e-01,2.4152068061e+01,2.1369969349e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1767378311e+02,1.0418811318e+02,9.0439652190e+01,1.3910072256e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.1687500000e+00,5.3533771719e+07,2.0663177972e+08,1.0247153590e+07,-2.1227187938e+01,1.1517629771e+01,-2.7029167475e-01,2.4152067425e+01,2.1369969879e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1767378884e+02,1.0418811945e+02,9.0439658840e+01,1.3910071886e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
5.2693750000e+00,5.3533684675e+07,2.0663182695e+08,1.0247152481e+07,-2.1227190923e+01,1.1517618249e+01,-2.7029224615e-01,2.4152064560e+01,2.1369972259e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1767381461e+02,1.0418814767e+02,9.0439688769e+01,1.3910070222e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
2.3722187500e+01,5.3533292973e+07,2.0663203948e+08,1.0247147494e+07,-2.1227204356e+01,1.1517566400e+01,-2.7029481740e-01,2.4152051669e+01,2.1369982973e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1767393060e+02,1.0418827464e+02,9.0439823445e+01,1.3910062731e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.0675984375e+02,5.3531530313e+07,2.0663299586e+08,1.0247125048e+07,-2.1227264802e+01,1.1517333080e+01,-2.7030638800e-01,2.4151993661e+01,2.1370031186e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1767445254e+02,1.0418884602e+02,9.0440429491e+01,1.3910029021e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
4.8042929687e+02,5.3523598282e+07,2.0663729934e+08,1.0247024034e+07,-2.1227536781e+01,1.1516283146e+01,-2.7035845440e-01,2.4151732629e+01,2.1370248139e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1767680124e+02,1.0419141722e+02,9.0443156697e+01,1.3909877313e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
2.1619418359e+03,5.3487902884e+07,2.0665666014e+08,1.0246569225e+07,-2.1228760085e+01,1.1511558570e+01,-2.7059272722e-01,2.4150558086e+01,2.1371224372e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1768736979e+02,1.0420298731e+02,9.0455429124e+01,1.3909194306e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
