time,JDTDB,X,Y,Z,VX,VY,VZ
0,2453597.500000000,1.203643094172370E+08,-9.231335976424207E+07,4.193968810849227E+05,2.056210231691208E+01,2.589522401988500E+01,1.799124408207396E+00
86400,2453598.500000000,1.221227884304447E+08,-9.006381224138355E+07,5.741727195100449E+05,2.014461367115653E+01,2.617809212980639E+01,1.784917391736647E+00
172800,2453599.500000000,1.238453804857461E+08,-8.778981212869807E+07,7.279675879139453E+05,1.973023341297966E+01,2.646024989143829E+01,1.775641743026464E+00
259200,2453600.500000000,1.255321378350138E+08,-8.549161414176236E+07,8.810605983232372E+05,1.931471508709506E+01,2.673784849330186E+01,1.768393323934147E+00
345600,2453601.500000000,1.271828853158372E+08,-8.316969028924456E+07,1.033570979180574E+06,1.889651719092222E+01,2.700927832077873E+01,1.762031583210536E+00
432000,2453602.500000000,1.287973606939922E+08,-8.082461238431640E+07,1.185549453415569E+06,1.847502181397543E+01,2.727372067734220E+01,1.756017744446121E+00
518400,2453603.500000000,1.303752674246858E+08,-7.845700670850155E+07,1.337012499660220E+06,1.805000246295225E+01,2.753069075576838E+01,1.750065132736655E+00
604800,2453604.500000000,1.319162984500871E+08,-7.606753347111578E+07,1.487957645664424E+06,1.762142140058038E+01,2.777987040073797E+01,1.744008216325915E+00
691200,2453605.500000000,1.334201482283092E+08,-7.365687601988618E+07,1.638371164621226E+06,1.718934170056281E+01,2.802103392661176E+01,1.737745713107056E+00
777600,2453606.500000000,1.348865193903321E+08,-7.122573458245996E+07,1.788232304577813E+06,1.675388447762682E+01,2.825401207812757E+01,1.731213086499569E+00
864000,2453607.500000000,1.363151266816131E+08,-6.877482227311160E+07,1.937515783090003E+06,1.631520629549708E+01,2.847867360605234E+01,1.724368284697981E+00
950400,2453608.500000000,1.377056994145784E+08,-6.630486238893956E+07,2.086193326452348E+06,1.587348614632075E+01,2.869491242190078E+01,1.717183024278450E+00
1036800,2453609.500000000,1.390579830562775E+08,-6.381658641430636E+07,2.234234671457235E+06,1.542891800980010E+01,2.890264457298245E+01,1.709639012716229E+00
1123200,2453610.500000000,1.403717252536478E+08,-6.131069596058898E+07,2.381647406339444E+06,1.497960952247276E+01,2.910689478103277E+01,1.707246660008797E+00
1209600,2453611.500000000,1.416465555335988E+08,-5.878756710412192E+07,2.528797989484333E+06,1.452996253790562E+01,2.929742384546540E+01,1.698953203334952E+00
1296000,2453612.500000000,1.428824388260070E+08,-5.624835083816310E+07,2.675215483240373E+06,1.407809501684471E+01,2.947928250895403E+01,1.690276614572870E+00
1382400,2453613.500000000,1.440791926763136E+08,-5.369379768824930E+07,2.820866720133249E+06,1.362422490045625E+01,2.965244006434611E+01,1.681215770263460E+00
1468800,2453614.500000000,1.452366535377925E+08,-5.112466038532782E+07,2.965718526383974E+06,1.316857176179153E+01,2.981687604365158E+01,1.671771564389241E+00
1555200,2453615.500000000,1.463546768622342E+08,-4.854169301405127E+07,3.109737871978382E+06,1.271135564998557E+01,2.997257947972885E+01,1.661946363564581E+00
1641600,2453616.500000000,1.474331371187353E+08,-4.594565021258753E+07,3.252891990807667E+06,1.225279662712873E+01,3.011954843926386E+01,1.651743870648383E+00
1728000,2453617.500000000,1.484719277575599E+08,-4.333728641570850E+07,3.395148480768325E+06,1.179311389625722E+01,3.025778948777185E+01,1.641168772349547E+00
1814400,2453618.500000000,1.494709611130392E+08,-4.071735513604949E+07,3.536475382208055E+06,1.133252530894743E+01,3.038731736156013E+01,1.630226598836925E+00
1900800,2453619.500000000,1.504301682652223E+08,-3.808660827301827E+07,3.676841243450999E+06,1.087124687062018E+01,3.050815460862250E+01,1.618923559808525E+00
1987200,2453620.500000000,1.513494988631408E+08,-3.544579545172684E+07,3.816215175360072E+06,1.040949234214543E+01,3.062033126865656E+01,1.607266446760033E+00
2073600,2453621.500000000,1.522289209198087E+08,-3.279566338516418E+07,3.954566899628416E+06,9.947473026830892E+00,3.072388468575299E+01,1.595262604793263E+00
2160000,2453622.500000000,1.530684205657166E+08,-3.013695527376540E+07,4.091866783549963E+06,9.485396933825609E+00,3.081885848590917E+01,1.582919315997303E+00
2246400,2453623.500000000,1.538680016845176E+08,-2.747041025138106E+07,4.228085853018224E+06,9.023467201685071E+00,3.090530393692523E+01,1.570245354944420E+00
2332800,2453624.500000000,1.546276857958872E+08,-2.479676272078145E+07,4.363195884040985E+06,8.561888266297865E+00,3.098327834084944E+01,1.557248578441634E+00
2419200,2453625.500000000,1.553475117458743E+08,-2.211674191684876E+07,4.497169358397411E+06,8.100856918653800E+00,3.105284448986055E+01,1.543937618725700E+00
2505600,2453626.500000000,1.560275352115672E+08,-1.943107136443682E+07,4.629979509688358E+06,7.640566393470601E+00,3.111407152976090E+01,1.530321283836020E+00
2592000,2453627.500000000,1.566678284142259E+08,-1.674046837966570E+07,4.761600339855450E+06,7.181206124031552E+00,3.116703402817775E+01,1.516408537042690E+00
2678400,2453628.500000000,1.572684797596992E+08,-1.404564360544096E+07,4.892006632948967E+06,6.722961289539929E+00,3.121181189729818E+01,1.502208536025735E+00
2764800,2453629.500000000,1.578295934431586E+08,-1.134730057141338E+07,5.021173959718584E+06,6.266012167929350E+00,3.124848974863459E+01,1.487730296207625E+00
2851200,2453630.500000000,1.583512889768912E+08,-8.646135106078669E+06,5.149078983945293E+06,5.810532078553049E+00,3.127716150053649E+01,1.472988839187783E+00
2937600,2453631.500000000,1.588337008753268E+08,-5.942835257315641E+06,5.275698772438582E+06,5.356697823866314E+00,3.129791256777305E+01,1.457982320943492E+00
3024000,2453632.500000000,1.592769784653964E+08,-3.238080978178710E+06,5.401011127070822E+06,4.904672589272863E+00,3.131084557828570E+01,1.442725736623515E+00
3110400,2453633.500000000,1.596812850451935E+08,-5.325433625466772E+05,5.524994849424854E+06,4.454617547194509E+00,3.131606269872017E+01,1.427228516939099E+00
3196800,2453634.500000000,1.600467976199284E+08,2.173115483399901E+06,5.647629556280137E+06,4.006688803726164E+00,3.131366976759340E+01,1.411500098264575E+00
3283200,2453635.500000000,1.603737064607823E+08,4.878242747205451E+06,5.768895679339929E+06,3.561037328064833E+00,3.130377603580989E+01,1.395549905594356E+00
3369600,2453636.500000000,1.606622147927507E+08,7.582195230526738E+06,5.888774386795813E+06,3.117810584722982E+00,3.128649439941212E+01,1.379386326580029E+00
3456000,2453637.500000000,1.609125379643933E+08,1.028433950617613E+07,6.007247800314801E+06,2.677145987450110E+00,3.126193918408746E+01,1.363020741117193E+00
3542400,2453638.500000000,1.611249033543897E+08,1.298405225195421E+07,6.124298791742133E+06,2.239180347266751E+00,3.123022885525874E+01,1.346461433950624E+00
3628800,2453639.500000000,1.612995498094654E+08,1.568072044995237E+07,6.239911022878549E+06,1.804043734657785E+00,3.119148379277890E+01,1.329717637164526E+00
3715200,2453640.500000000,1.614367271874397E+08,1.837374157870723E+07,6.354068949817882E+06,1.371860964671177E+00,3.114582655059764E+01,1.312798503123870E+00
3801600,2453641.500000000,1.615366959033243E+08,2.106252379091370E+07,6.466757815575670E+06,9.427516037276886E-01,3.109338162326754E+01,1.295713093480554E+00
3888000,2453642.500000000,1.615997264769575E+08,2.374648607188574E+07,6.577963641748403E+06,5.168300022719717E-01,3.103427523762163E+01,1.278470367608341E+00
3974400,2453643.500000000,1.616260990852499E+08,2.642505837747300E+07,6.687673219718393E+06,9.420535522929682E-02,3.096863506886314E+01,1.261079184663213E+00
4060800,2453644.500000000,1.616161031153176E+08,2.909768175307969E+07,6.795874100917442E+06,-3.250183191177310E-01,3.089659011926140E+01,1.243548277194241E+00
4147200,2453645.500000000,1.615700367216426E+08,3.176380843724879E+07,6.902554586037805E+06,-7.407420935875508E-01,3.081827044775609E+01,1.225886254973821E+00
4233600,2453646.500000000,1.614882063878178E+08,3.442290194473892E+07,7.007703713983892E+06,-1.152872068345811E+00,3.073380698893677E+01,1.208101596276142E+00
