Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453705.500000000, A.D. 2005-Dec-01 00:00:00.0000,  5.639810487255618E+07,  1.331110773787923E+08, -2.085372802497149E+05, -2.684299205764671E+01,  8.320156880139338E+00, -1.135901905542953E-01,  4.822205038979200E+02,  1.445660701615560E+08, -2.810930300871490E+00,
2453706.500000000, A.D. 2005-Dec-02 00:00:00.0000,  5.406970726002696E+07,  1.338080805966940E+08, -2.183147925466448E+05, -2.705379431079633E+01,  7.813288743965582E+00, -1.127343218526295E-01,  4.813987885108353E+02,  1.443197260858854E+08, -2.891392385691860E+00,
2453707.500000000, A.D. 2005-Dec-03 00:00:00.0000,  5.172343681936929E+07,  1.344610610613351E+08, -2.280167510334775E+05, -2.725669537416563E+01,  7.301121012011332E+00, -1.118414021911645E-01,  4.805539600837289E+02,  1.440664528951350E+08, -2.971323112096247E+00,
2453708.500000000, A.D. 2005-Dec-04 00:00:00.0000,  4.935998126813414E+07,  1.350695634371017E+08, -2.376398372187614E+05, -2.745157750045522E+01,  6.783713061248995E+00, -1.109088816847303E-01,  4.796861749768580E+02,  1.438062974649303E+08, -3.050699732229275E+00,
2453709.500000000, A.D. 2005-Dec-05 00:00:00.0000,  4.698003875647748E+07,  1.356331374918738E+08, -2.471806834462211E+05, -2.763831714991220E+01,  6.261123916779517E+00, -1.099375302016012E-01,  4.787955961290490E+02,  1.435393086431028E+08, -3.129499226525699E+00,
2453710.500000000, A.D. 2005-Dec-06 00:00:00.0000,  4.458431818133900E+07,  1.361513381626084E+08, -2.566358725648448E+05, -2.781678871618985E+01,  5.733413452965076E+00, -1.089261014284713E-01,  4.778823931705361E+02,  1.432655372835174E+08, -3.207698790745947E+00,
2453711.500000000, A.D. 2005-Dec-07 00:00:00.0000,  4.217353950567936E+07,  1.366237256637368E+08, -2.660019457593709E+05, -2.798686243629995E+01,  5.200644317841709E+00, -1.078745218516839E-01,  4.769467426028435E+02,  1.429850362999997E+08, -3.285273503889884E+00,
2453712.500000000, A.D. 2005-Dec-08 00:00:00.0000,  3.974843405677543E+07,  1.370498656025797E+08, -2.752753992283940E+05, -2.814840457729240E+01,  4.662878894065239E+00, -1.067822643811551E-01,  4.759888279092020E+02,  1.426978606994387E+08, -3.362199548816537E+00,
2453713.500000000, A.D. 2005-Dec-09 00:00:00.0000,  3.730974482963074E+07,  1.374293291483389E+08, -2.844526918412372E+05, -2.830127843829991E+01,  4.120183256139350E+00, -1.056485899585033E-01,  4.750088397760288E+02,  1.424040676481838E+08, -3.438450966230478E+00,
2453714.500000000, A.D. 2005-Dec-10 00:00:00.0000,  3.485822678317241E+07,  1.377616931975532E+08, -2.935302414240092E+05, -2.844534421049967E+01,  3.572624492605581E+00, -1.044736184890300E-01,  4.740069762332843E+02,  1.421037165141239E+08, -3.514002351504399E+00,
