time,JDTDB,X,Y,Z,VX,VY,VZ
0,2.453705500000000E+06,5.639810487255618E+07,1.331110773787923E+08,-2.085372802497149E+05,-2.684299205764671E+01,8.320156880139338E+00,-1.135901905542953E-01
86400,2.453706500000000E+06,5.406970726002696E+07,1.338080805966940E+08,-2.183147925466448E+05,-2.705379431079633E+01,7.813288743965582E+00,-1.127343218526295E-01
172800,2.453707500000000E+06,5.172343681936929E+07,1.344610610613351E+08,-2.280167510334775E+05,-2.725669537416563E+01,7.301121012011332E+00,-1.118414021911645E-01
259200,2.453708500000000E+06,4.935998126813414E+07,1.350695634371017E+08,-2.376398372187614E+05,-2.745157750045522E+01,6.783713061248995E+00,-1.109088816847303E-01
345600,2.453709500000000E+06,4.698003875647748E+07,1.356331374918738E+08,-2.471806834462211E+05,-2.763831714991220E+01,6.261123916779517E+00,-1.099375302016012E-01
432000,2.453710500000000E+06,4.458431818133900E+07,1.361513381626084E+08,-2.566358725648448E+05,-2.781678871618985E+01,5.733413452965076E+00,-1.089261014284713E-01
518400,2.453711500000000E+06,4.217353950567936E+07,1.366237256637368E+08,-2.660019457593709E+05,-2.798686243629995E+01,5.200644317841709E+00,-1.078745218516839E-01
604800,2.453712500000000E+06,3.974843405677543E+07,1.370498656025797E+08,-2.752753992283940E+05,-2.814840457729240E+01,4.662878894065239E+00,-1.067822643811551E-01
691200,2.453713500000000E+06,3.730974482963074E+07,1.374293291483389E+08,-2.844526918412372E+05,-2.830127843829991E+01,4.120183256139350E+00,-1.056485899585033E-01
777600,2.453714500000000E+06,3.485822678317241E+07,1.377616931975532E+08,-2.935302414240092E+05,-2.844534421049967E+01,3.572624492605581E+00,-1.044736184890300E-01
864000,2.453715500000000E+06,3.239464713302338E+07,1.380465405841179E+08,-3.025044346425310E+05,-2.858045833577488E+01,3.020271993932988E+00,-1.032554037942450E-01
950400,2.453716500000000E+06,2.991978564374788E+07,1.382834602964957E+08,-3.113716175341904E+05,-2.870647361931729E+01,2.463199798075368E+00,-1.019958275546761E-01
1036800,2.453717500000000E+06,2.743443492298961E+07,1.384720477252862E+08,-3.201281054774895E+05,-2.882323917018515E+01,1.901482148570812E+00,-1.006934575803267E-01
1123200,2.453718500000000E+06,2.493940070803127E+07,1.386119049224628E+08,-3.287701801875755E+05,-2.893060239141409E+01,1.335198634237838E+00,-9.934715410565748E-02
1209600,2.453719500000000E+06,2.243550215368580E+07,1.387026408947749E+08,-3.372940890769139E+05,-2.902840553366288E+01,7.644313119713697E-01,-9.795778277404968E-02
1296000,2.453720500000000E+06,1.992357212297454E+07,1.387438719019998E+08,-3.456960524991751E+05,-2.911648921065736E+01,1.892651511589799E-01,-9.652457177306492E-02
1382400,2.453721500000000E+06,1.740445747327391E+07,1.387352217920007E+08,-3.539722556385472E+05,-2.919468936051738E+01,-3.902095197846200E-01,-9.504697620946817E-02
1468800,2.453722500000000E+06,1.487901933549229E+07,1.386763223446079E+08,-3.621188574050739E+05,-2.926283819592002E+01,-9.738982101422772E-01,-9.352457849964751E-02
1555200,2.453723500000000E+06,1.234813340520212E+07,1.385668136492276E+08,-3.701319854724482E+05,-2.932076689538605E+01,-1.561702456457100E+00,-9.195703597773031E-02
1641600,2.453724500000000E+06,9.812690213036824E+06,1.384063444922052E+08,-3.780077393372580E+05,-2.936830109176513E+01,-2.153520781217451E+00,-9.034463656516312E-02
1728000,2.453725500000000E+06,7.273595412442015E+06,1.381945727801714E+08,-3.857421917097867E+05,-2.940526520328839E+01,-2.749243962572273E+00,-8.868655177401186E-02
1814400,2.453726500000000E+06,4.731770046355580E+06,1.379311659772034E+08,-3.933313853526711E+05,-2.943147834552409E+01,-3.348758047007419E+00,-8.698208386888528E-02
1900800,2.453727500000000E+06,2.188150819981151E+06,1.376158015706903E+08,-4.007713397715688E+05,-2.944675853322527E+01,-3.951945794115620E+00,-8.523164217274593E-02
1987200,2.453728500000000E+06,-3.563096293788769E+05,1.372481675622573E+08,-4.080580468886197E+05,-2.945092009747767E+01,-4.558681441381125E+00,-8.343456792689841E-02
2073600,2.453729500000000E+06,-2.900642480117455E+06,1.368279629797844E+08,-4.151874727972150E+05,-2.944377324957837E+01,-5.168834870617101E+00,-8.159044254754444E-02
2160000,2.453730500000000E+06,-5.443862467484711E+06,1.363548984213153E+08,-4.221555621873587E+05,-2.942512723009175E+01,-5.782268766822266E+00,-7.969999302869546E-02
2246400,2.453731500000000E+06,-7.984967636111625E+06,1.358286966218129E+08,-4.289582322509438E+05,-2.939478659381829E+01,-6.398839237780469E+00,-7.776143814255931E-02
2332800,2.453732500000000E+06,-1.052293910669216E+07,1.352490930486391E+08,-4.355913813096657E+05,-2.935255419179726E+01,-7.018394802623035E+00,-7.577569190605660E-02
2419200,2.453733500000000E+06,-1.305674084610010E+07,1.346158365237471E+08,-4.420508840408400E+05,-2.929823117225617E+01,-7.640778179725281E+00,-7.374197772939617E-02
2505600,2.453734500000000E+06,-1.558531945029800E+07,1.339286898773437E+08,-4.483325955554619E+05,-2.923161467981842E+01,-8.265823249994693E+00,-7.165976889715875E-02
2592000,2.453735500000000E+06,-1.810760393758146E+07,1.331874306311247E+08,-4.544323518983498E+05,-2.915250004565915E+01,-8.893355078981111E+00,-6.953012680216997E-02
2678400,2.453736500000000E+06,-2.062250556400731E+07,1.323918517079041E+08,-4.603459704717919E+05,-2.906068076194379E+01,-9.523191603748263E+00,-6.735125469384196E-02
2764800,2.453737500000000E+06,-2.312891764178583E+07,1.315417621743538E+08,-4.660692525244504E+05,-2.895594763314148E+01,-1.015514224810444E+01,-6.512400147211661E-02
2851200,2.453738500000000E+06,-2.562571538550805E+07,1.306369880192468E+08,-4.715979837820828E+05,-2.883809116827196E+01,-1.078900561375983E+01,-6.284784250558495E-02
2937600,2.453739500000000E+06,-2.811175576999541E+07,1.296773729573550E+08,-4.769279366218150E+05,-2.870689944472695E+01,-1.142457188024620E+01,-6.052237719774833E-02
3024000,2.453740500000000E+06,-3.058587741483954E+07,1.286627792705620E+08,-4.820548734943494E+05,-2.856215870568134E+01,-1.206162168737971E+01,-5.814842747016602E-02
3110400,2.453741500000000E+06,-3.304690048586887E+07,1.275930886819528E+08,-4.869745446183085E+05,-2.840365618205411E+01,-1.269992372521740E+01,-5.572493283380897E-02
3196800,2.453742500000000E+06,-3.549362662904692E+07,1.264682032610715E+08,-4.916826936149523E+05,-2.823117560706222E+01,-1.333923836751894E+01,-5.325201495349674E-02
